Headline,Level,Type,Label,Score
Hopes for Iran nuclear talks tempered by threats and mixed messages - BBC,crisis_conflict,politics,negative,0.5706109404563904
POD Community Mock Draft: Breaking down 2nd round picks - Pride Of Detroit,other,other,neutral,0.9269900321960449
Google is in more danger than ever of being broken up - The Verge,market_impact,technology,negative,0.8074709177017212
Curiosity rover finds largest carbon chains on Mars from 3.7-billion-year-old rock - Live Science,innovation_breakthrough,technology,neutral,0.8195993304252625
"Vatican notes ‘exchange of opinions’ over migrants, prisoners in meeting with Vance - AP News",other,world_news,neutral,0.9436938762664795
"Trump's knives are out for Jerome Powell, setting up a Supreme Court showdown over the Fed's independence - Fortune",major_event,politics,neutral,0.6222438216209412
"Nintendo on new Mario game for Switch 2: ""Stay tuned"" - Nintendo Everything",other,other,positive,0.5701130628585815
"New ‘Marathon’ Info About The Closed Alpha, NDAs And Open Beta - Forbes",other,technology,neutral,0.9069893956184387
Google Confirms Gmail Warning—Stop Using Your Password Now - Forbes,major_event,technology,neutral,0.6681877970695496
PlayStation Plus: The Best Games to Play With Your Subscription (April 2025) - IGN,other,other,positive,0.8473128080368042
The 10 Best Ways to Add Protein To Smoothies (Without Using Protein Powder) - marthastewart.com,other,other,positive,0.5985907316207886
Scientists claim to have discovered 'new colour' no one has seen before - BBC,innovation_breakthrough,technology,neutral,0.6685283184051514
"Researchers developed an ultra-hard new alloy that can survive at 1,400 degrees - Boy Genius Report",innovation_breakthrough,technology,positive,0.7699441313743591
The Apple Watch Series 10 is back on sale for a record low of $299 - The Verge,other,other,positive,0.6949501633644104
Automatic dark theme remains broken on latest Google Pixel update - 9to5Google,other,technology,negative,0.6124434471130371
"Assassin’s Creed Shadows may be coming to Nintendo Switch 2, according to a new rating - Video Games Chronicle",other,other,neutral,0.720447301864624
"Amazon Is Going All In, The Newest Echo Speaker Hits a Record Low in 2025 Despite Rising Tariffs - Gizmodo",market_impact,technology,positive,0.5319854021072388
"Sam Altman Admits That Saying ""Please"" and ""Thank You"" to ChatGPT Is Wasting Millions of Dollars in Computing Power - futurism.com",market_impact,technology,negative,0.49926722049713135
"Oblivion Remake Screens Leak, Nintendo Shows Off Mario Kart World, And More Top Stories - Kotaku",other,other,neutral,0.8005580902099609
Apple iPhone 17 Pro And iPhone 17 Pro Max: Latest Leaks Promise New Designs - Forbes,innovation_breakthrough,technology,neutral,0.6440014839172363
"New Nvidia drivers improve performance in benchmarks, but crashes and gaming issues remain - TechSpot",innovation_breakthrough,technology,neutral,0.6775438189506531
"Samsung sidelined Galaxy S21, S22 and S23 flagships, Galaxy M56 makes it crystal clear - Sammy Fans",other,technology,neutral,0.6870240569114685
"Ahead Of Tariff Hikes, Amazon Is Clearing Out Its Stock of Samsung 990 PRO 2TB Internal SSDs at 40% Off - Gizmodo",market_impact,economy,neutral,0.6393517851829529
“Humans Will Finally Speak to Dolphins”: Google’s New AI Breakthrough Unleashes Unbelievable Leap in Animal Communication - Sustainability Times,innovation_breakthrough,technology,positive,0.7756813764572144
"The creator of Papers, Please wants developers to make weirder, more personal games - The Verge",other,other,neutral,0.6704156398773193
